longitude,latitude,date_death,days
5.785511,49.603907,28/02/2019,205
5.51994,49.67207,10/02/2019,187
5.4603,49.73523,04/03/2019,209
5.46032,49.73515,04/03/2019,209
5.75754,49.59073,04/03/2019,209
5.47439,49.64875,28/02/2019,205
5.474674,49.648974,28/02/2019,205
5.47523,49.64826,05/03/2019,210
5.580556,49.606111,04/02/2019,181
5.42837,49.63263,12/02/2019,189
5.46699,49.61421,05/03/2019,210
5.46709,49.6153,05/03/2019,210
5.673,49.583,26/02/2019,203
5.46933,49.7341,06/03/2019,211
5.46002,49.73497,06/03/2019,211
5.44594,49.67932,06/03/2019,211
5.4525,49.68437,18/03/2019,223
5.43849,49.74233,10/03/2019,215
5.47585,49.73392,01/03/2019,206
5.45484,49.72723,07/03/2019,212
5.470244,49.628046,04/03/2019,209
5.470233,49.628469,26/02/2019,203
5.47383,49.61827,01/03/2019,206
5.44907,49.63236,11/03/2019,216
5.44915,49.63238,21/02/2019,198
5.50209,49.62359,12/03/2019,217
5.69867,49.642556,22/02/2019,199
5.554927,49.590973,05/03/2019,210
5.75827,49.59063,11/03/2019,216
5.75812,49.59085,11/03/2019,216
5.75827,49.59085,11/03/2019,216
5.758524,49.590592,11/03/2019,216
5.757849,49.590717,11/03/2019,216
5.778,49.59049,13/03/2019,218
5.4568,49.63184,11/03/2019,216
5.51229,49.70188,13/03/2019,218
5.608689,49.554312,23/02/2019,200
5.597222,49.575556,12/03/2019,217
5.52201,49.61796,28/02/2019,205
5.510367,49.703409,03/04/2019,239
5.43704,49.72582,22/03/2019,227
5.557984,49.68792,25/03/2019,230
5.539711,49.579241,08/03/2019,213
5.737722,49.659639,10/02/2019,187
5.48037,49.64574,15/03/2019,220
5.78782,49.59052,26/03/2019,231
5.71189,49.60185,26/03/2019,231
5.45916,49.62896,09/03/2019,214
5.45847,49.62929,27/03/2019,232
5.65206,49.66329,31/03/2019,236
5.67846,49.60169,29/03/2019,234
5.44657,49.68112,14/03/2019,219
5.59653,49.55544,23/03/2019,228
5.618489,49.612178,15/03/2019,220
5.49391,49.76931,01/04/2019,237
5.45419,49.6597,23/02/2019,200
5.50923,49.69967,27/03/2019,232
5.5528,49.6826,04/04/2019,240
5.5535,49.6828,28/03/2019,233
